銘柄名,銘柄コード,市場
グラファイトデザイン,7847.T,JP
スターツ出版,7849.T,JP
総合商研,7850.T,JP
カワセコンピュータサプライ,7851.T,JP
萩原工業,7856.T,JP
セキ,7857.T,JP
アルメディオ,7859.T,JP
エイベックス,7860.T,JP
平賀,7863.T,JP
フジシールインターナショナル,7864.T,JP
ピープル,7865.T,JP
タカラトミー,7867.T,JP
広済堂ホールディングス,7868.T,JP
フクビ化学工業,7871.T,JP
エステールホールディングス,7872.T,JP
レック,7874.T,JP
竹田ｉＰホールディングス,7875.T,JP
永大化工,7877.T,JP
光・彩,7878.T,JP
ノダ,7879.T,JP
サンメッセ,7883.T,JP
タカノ,7885.T,JP
ヤマト　モビリティ　＆　Ｍｆｇ．,7886.T,JP
南海プライウッド,7887.T,JP
三光合成,7888.T,JP
プロネクサス,7893.T,JP
セブン工業,7896.T,JP
ホクシン,7897.T,JP
ウッドワン,7898.T,JP
マツモト,7901.T,JP
ソノコム,7902.T,JP
ヨネックス,7906.T,JP
きもと,7908.T,JP
ＴＯＰＰＡＮホールディングス,7911.T,JP
大日本印刷,7912.T,JP
共同印刷,7914.T,JP
ＮＩＳＳＨＡ,7915.T,JP
光村印刷,7916.T,JP
ＺＡＣＲＯＳ,7917.T,JP
ヴィア・ホールディングス,7918.T,JP
野崎印刷紙業,7919.T,JP
ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,7921.T,JP
三光産業,7922.T,JP
トーイン,7923.T,JP
前澤化成工業,7925.T,JP
ムトー精工,7927.T,JP
旭化学工業,7928.T,JP
未来工業,7931.T,JP
ニッピ,7932.T,JP
アシックス,7936.T,JP
ツツミ,7937.T,JP
リーガルコーポレーション,7938.T,JP
研創,7939.T,JP
ウェーブロックホールディングス,7940.T,JP
ＪＳＰ,7942.T,JP
ニチハ,7943.T,JP
ローランド,7944.T,JP
光陽社,7946.T,JP
エフピコ,7947.T,JP
小松ウオール工業,7949.T,JP
ヤマハ,7951.T,JP
河合楽器製作所,7952.T,JP
菊水化学工業,7953.T,JP
クリナップ,7955.T,JP
ピジョン,7956.T,JP
フジコピアン,7957.T,JP
天馬,7958.T,JP
キングジム,7962.T,JP
興研,7963.T,JP
象印マホービン,7965.T,JP
リンテック,7966.T,JP
信越ポリマー,7970.T,JP
東リ,7971.T,JP
イトーキ,7972.T,JP
任天堂,7974.T,JP
リヒトラブ,7975.T,JP
三菱鉛筆,7976.T,JP
松風,7979.T,JP
重松製作所,7980.T,JP
タカラスタンダード,7981.T,JP
ミロク,7983.T,JP
コクヨ,7984.T,JP
ネポン,7985.T,JP
日本アイ・エス・ケイ,7986.T,JP
ナカバヤシ,7987.T,JP
ニフコ,7988.T,JP
立川ブラインド工業,7989.T,JP
グローブライド,7990.T,JP
マミヤ・オーピー,7991.T,JP
セーラー万年筆,7992.T,JP
オカムラ,7994.T,JP
バルカー,7995.T,JP
くろがね工作所,7997.T,JP
ＭＵＴＯＨホールディングス,7999.T,JP
伊藤忠商事,8001.T,JP
丸紅,8002.T,JP
スクロール,8005.T,JP
ユアサ・フナショク,8006.T,JP
高島,8007.T,JP
ヨンドシーホールディングス,8008.T,JP
三陽商会,8011.T,JP
長瀬産業,8012.T,JP
ナイガイ,8013.T,JP
蝶理,8014.T,JP
豊田通商,8015.T,JP
オンワードホールディングス,8016.T,JP
三共生興,8018.T,JP
兼松,8020.T,JP
美津濃,8022.T,JP
大興電子通信,8023.T,JP
ツカモトコーポレーション,8025.T,JP
ルックホールディングス,8029.T,JP
中央魚類,8030.T,JP
三井物産,8031.T,JP
日本紙パルプ商事,8032.T,JP
東京エレクトロン,8035.T,JP
カメイ,8037.T,JP
東都水産,8038.T,JP
築地魚市場,8039.T,JP
東京ソワール,8040.T,JP
ＯＵＧホールディングス,8041.T,JP
スターゼン,8043.T,JP
横浜丸魚,8045.T,JP
丸藤シートパイル,8046.T,JP
セイコーグループ,8050.T,JP
山善,8051.T,JP
椿本興業,8052.T,JP
住友商事,8053.T,JP
ＢＩＰＲＯＧＹ,8056.T,JP
内田洋行,8057.T,JP
三菱商事,8058.T,JP
第一実業,8059.T,JP
キヤノンマーケティングジャパン,8060.T,JP
西華産業,8061.T,JP
佐藤商事,8065.T,JP
三谷商事,8066.T,JP
東京産業,8070.T,JP
ユアサ商事,8074.T,JP
神鋼商事,8075.T,JP
カノークス,8076.T,JP
トルク,8077.T,JP
阪和興業,8078.T,JP
正栄食品工業,8079.T,JP
カナデン,8081.T,JP
ＲＹＯＤＥＮ,8084.T,JP
ナラサキ産業,8085.T,JP
ニプロ,8086.T,JP
岩谷産業,8088.T,JP
ナイス,8089.T,JP
ニチモウ,8091.T,JP
極東貿易,8093.T,JP
アステナホールディングス,8095.T,JP
三愛オブリ,8097.T,JP
稲畑産業,8098.T,JP
ＧＳＩクレオス,8101.T,JP
明和産業,8103.T,JP
クワザワホールディングス,8104.T,JP
堀田丸正,8105.T,JP
キムラタン,8107.T,JP
ゴールドウイン,8111.T,JP
ユニ・チャーム,8113.T,JP
ムーンバット,8115.T,JP
中央自動車工業,8117.T,JP
キング,8118.T,JP
三栄コーポレーション,8119.T,JP
川辺,8123.T,JP
ワキタ,8125.T,JP
ヤマトインターナショナル,8127.T,JP
東邦ホールディングス,8129.T,JP
サンゲツ,8130.T,JP
ミツウロコグループホールディングス,8131.T,JP
シナネンホールディングス,8132.T,JP
伊藤忠エネクス,8133.T,JP
ゼット,8135.T,JP
サンリオ,8136.T,JP
サンワテクノス,8137.T,JP
三京化成,8138.T,JP
ナガホリ,8139.T,JP
新光商事,8141.T,JP
トーホー,8142.T,JP
ラピーヌ,8143.T,JP
デンキョーグループホールディングス,8144.T,JP
トミタ,8147.T,JP
三信電気,8150.T,JP
東陽テクニカ,8151.T,JP
ソマール,8152.T,JP
モスフードサービス,8153.T,JP
加賀電子,8154.T,JP
都築電気,8157.T,JP
ソーダニッカ,8158.T,JP
立花エレテック,8159.T,JP
木曽路,8160.T,JP
ＳＲＳホールディングス,8163.T,JP
千趣会,8165.T,JP
タカキュー,8166.T,JP
リテールパートナーズ,8167.T,JP
上新電機,8173.T,JP
日本瓦斯,8174.T,JP
ロイヤルホールディングス,8179.T,JP
東天紅,8181.T,JP
チヨダ,8185.T,JP
ライフコーポレーション,8194.T,JP
マックスバリュ東海,8198.T,JP
リンガーハット,8200.T,JP
ラオックスホールディングス,8202.T,JP
ＭｒＭａｘＨＤ,8203.T,JP
テンアライド,8207.T,JP
エンチョー,8208.T,JP
フレンドリー,8209.T,JP
ＡＯＫＩホールディングス,8214.T,JP
オークワ,8217.T,JP
コメリ,8218.T,JP
青山商事,8219.T,JP
タカチホ,8225.T,JP
理経,8226.T,JP
しまむら,8227.T,JP
はせがわ,8230.T,JP
高島屋,8233.T,JP
松屋,8237.T,JP
エイチ・ツー・オー　リテイリング,8242.T,JP
近鉄百貨店,8244.T,JP
大和,8247.T,JP
丸井グループ,8252.T,JP
クレディセゾン,8253.T,JP
さいか屋,8254.T,JP
アクシアル　リテイリング,8255.T,JP
井筒屋,8260.T,JP
イオン,8267.T,JP
イズミ,8273.T,JP
フォーバル,8275.T,JP
平和堂,8276.T,JP
フジ,8278.T,JP
ヤオコー,8279.T,JP
ゼビオホールディングス,8281.T,JP
ケーズホールディングス,8282.T,JP
ＰＡＬＴＡＣ,8283.T,JP
三谷産業,8285.T,JP
Ｏｌｙｍｐｉｃグループ,8289.T,JP
日産東京販売ホールディングス,8291.T,JP
日本銀行　出資証券,8301.T,JP
あおぞら銀行,8304.T,JP
三菱ＵＦＪフィナンシャル・グループ,8306.T,JP
りそなホールディングス,8308.T,JP
三井住友トラストグループ,8309.T,JP
三井住友フィナンシャルグループ,8316.T,JP
千葉銀行,8331.T,JP
群馬銀行,8334.T,JP
武蔵野銀行,8336.T,JP
千葉興業銀行,8337.T,JP
筑波銀行,8338.T,JP
七十七銀行,8341.T,JP
秋田銀行,8343.T,JP
山形銀行,8344.T,JP
岩手銀行,8345.T,JP
東邦銀行,8346.T,JP
東北銀行,8349.T,JP
ふくおかフィナンシャルグループ,8354.T,JP
スルガ銀行,8358.T,JP
八十二銀行,8359.T,JP
山梨中央銀行,8360.T,JP
大垣共立銀行,8361.T,JP
福井銀行,8362.T,JP
清水銀行,8364.T,JP
富山銀行,8365.T,JP
滋賀銀行,8366.T,JP
南都銀行,8367.T,JP
百五銀行,8368.T,JP
紀陽銀行,8370.T,JP
ほくほくフィナンシャルグループ,8377.T,JP
山陰合同銀行,8381.T,JP
鳥取銀行,8383.T,JP
百十四銀行,8386.T,JP
四国銀行,8387.T,JP
阿波銀行,8388.T,JP
大分銀行,8392.T,JP
宮崎銀行,8393.T,JP
佐賀銀行,8395.T,JP
琉球銀行,8399.T,JP
セブン銀行,8410.T,JP
みずほフィナンシャルグループ,8411.T,JP
高知銀行,8416.T,JP
山口フィナンシャルグループ,8418.T,JP
信金中央金庫　優先出資証券,8421.T,JP
芙蓉総合リース,8424.T,JP
みずほリース,8425.T,JP
東京センチュリー,8439.T,JP
ＳＢＩホールディングス,8473.T,JP
Ｊトラスト,8508.T,JP
日本証券金融,8511.T,JP
アイフル,8515.T,JP
日本アジア投資,8518.T,JP
名古屋銀行,8522.T,JP
北洋銀行,8524.T,JP
大光銀行,8537.T,JP
愛媛銀行,8541.T,JP
トマト銀行,8542.T,JP
京葉銀行,8544.T,JP
栃木銀行,8550.T,JP
北日本銀行,8551.T,JP
東和銀行,8558.T,JP
福島銀行,8562.T,JP
大東銀行,8563.T,JP
リコーリース,8566.T,JP
イオンフィナンシャルサービス,8570.T,JP
アコム,8572.T,JP
ジャックス,8584.T,JP
オリエントコーポレーション,8585.T,JP
オリックス,8591.T,JP
三菱ＨＣキャピタル,8593.T,JP
ジャフコ　グループ,8595.T,JP
九州リースサービス,8596.T,JP
トモニホールディングス,8600.T,JP
大和証券グループ本社,8601.T,JP
野村ホールディングス,8604.T,JP
岡三証券グループ,8609.T,JP
丸三証券,8613.T,JP
東洋証券,8614.T,JP
東海東京フィナンシャル・ホールディングス,8616.T,JP
光世証券,8617.T,JP
水戸証券,8622.T,JP
いちよし証券,8624.T,JP
松井証券,8628.T,JP
ＳＯＭＰＯホールディングス,8630.T,JP
日本取引所グループ,8697.T,JP
マネックスグループ,8698.T,JP
ＨＳホールディングス,8699.T,JP
丸八証券,8700.T,JP
トレイダーズホールディングス,8704.T,JP
日産証券グループ,8705.T,JP
極東証券,8706.T,JP
岩井コスモホールディングス,8707.T,JP
アイザワ証券グループ,8708.T,JP
フィデアホールディングス,8713.T,JP
池田泉州ホールディングス,8714.T,JP
アニコム　ホールディングス,8715.T,JP
ＭＳ＆ＡＤインシュアランスグループホールディングス,8725.T,JP
あかつき本社,8737.T,JP
スパークス・グループ,8739.T,JP
小林洋行,8742.T,JP
ＵＮＢＡＮＫＥＤ,8746.T,JP
豊トラスティ証券,8747.T,JP
第一生命ホールディングス,8750.T,JP
東京海上ホールディングス,8766.T,JP
アドバンテッジリスクマネジメント,8769.T,JP
イー・ギャランティ,8771.T,JP
アサックス,8772.T,JP
ＧＦＡ,8783.T,JP
フィンテック　グローバル,8789.T,JP
ＮＥＣキャピタルソリューション,8793.T,JP
Ｔ＆Ｄホールディングス,8795.T,JP
アドバンスクリエイト,8798.T,JP
三井不動産,8801.T,JP
三菱地所,8802.T,JP
平和不動産,8803.T,JP
東京建物,8804.T,JP
京阪神ビルディング,8818.T,JP
住友不動産,8830.T,JP
太平洋興発,8835.T,JP
ＲＩＳＥ,8836.T,JP
テーオーシー,8841.T,JP
コスモスイニシア,8844.T,JP
レオパレス２１,8848.T,JP
スターツコーポレーション,8850.T,JP
フジ住宅,8860.T,JP
空港施設,8864.T,JP
明和地所,8869.T,JP
ゴールドクレスト,8871.T,JP
リログループ,8876.T,JP
エスリード,8877.T,JP
日神グループホールディングス,8881.T,JP
ウッドフレンズ,8886.T,JP
クミカ,8887.T,JP
ＡＭＧホールディングス,8891.T,JP
日本エスコン,8892.T,JP
ＲＥＶＯＬＵＴＩＯＮ,8894.T,JP
ＭＩＲＡＲＴＨホールディングス,8897.T,JP
センチュリー２１・ジャパン,8898.T,JP
ＡＶＡＮＴＩＡ,8904.T,JP
イオンモール,8905.T,JP
毎日コムネット,8908.T,JP
エリアクエスト,8912.T,JP
エリアリンク,8914.T,JP
ファースト住建,8917.T,JP
ランド,8918.T,JP
カチタス,8919.T,JP
東祥,8920.T,JP
シーズクリエイト,8921.T,JP
トーセイ,8923.T,JP
明豊エンタープライズ,8927.T,JP
穴吹興産,8928.T,JP
青山財産ネットワークス,8929.T,JP
和田興産,8931.T,JP
サンフロンティア不動産,8934.T,JP
ＦＪネクストホールディングス,8935.T,JP
グローム・ホールディングス,8938.T,JP
インテリックス,8940.T,JP
ランドビジネス,8944.T,JP
サンネクスタグループ,8945.T,JP
ＡＳＩＡＮ　ＳＴＡＲ,8946.T,JP
日本ビルファンド投資法人,8951.T,JP
ジャパンリアルエステイト投資法人,8952.T,JP
日本都市ファンド投資法人,8953.T,JP
オリックス不動産投資法人,8954.T,JP
日本プライムリアルティ投資法人,8955.T,JP
ＮＴＴ都市開発リート投資法人,8956.T,JP
東急リアル・エステート投資法人,8957.T,JP
グローバル・ワン不動産投資法人,8958.T,JP
ユナイテッド・アーバン投資法人,8960.T,JP
森トラストリート投資法人,8961.T,JP
インヴィンシブル投資法人,8963.T,JP
フロンティア不動産投資法人,8964.T,JP
平和不動産リート投資法人,8966.T,JP
日本ロジスティクスファンド投資法人,8967.T,JP
福岡リート投資法人,8968.T,JP
ＫＤＸ不動産投資法人,8972.T,JP
いちごオフィスリート投資法人,8975.T,JP
大和証券オフィス投資法人,8976.T,JP
阪急阪神リート投資法人,8977.T,JP
スターツプロシード投資法人,8979.T,JP
大和ハウスリート投資法人,8984.T,JP
ジャパン・ホテル・リート投資法人,8985.T,JP
大和証券リビング投資法人,8986.T,JP
ジャパンエクセレント投資法人,8987.T,JP
誠建設工業,8995.T,JP
ハウスフリーダム,8996.T,JP
グランディハウス,8999.T,JP
東武鉄道,9001.T,JP
相鉄ホールディングス,9003.T,JP
東急,9005.T,JP
京浜急行電鉄,9006.T,JP
小田急電鉄,9007.T,JP
京王電鉄,9008.T,JP
京成電鉄,9009.T,JP
富士急行,9010.T,JP
秩父鉄道,9012.T,JP
新潟交通,9017.T,JP
東日本旅客鉄道,9020.T,JP
西日本旅客鉄道,9021.T,JP
東海旅客鉄道,9022.T,JP
東京地下鉄,9023.T,JP
西武ホールディングス,9024.T,JP
鴻池運輸,9025.T,JP
ゼロ,9028.T,JP
ヒガシトゥエンティワン,9029.T,JP
西日本鉄道,9031.T,JP
広島電鉄,9033.T,JP
南総通運,9034.T,JP
東部ネットワーク,9036.T,JP
ハマキョウレックス,9037.T,JP
サカイ引越センター,9039.T,JP
近鉄グループホールディングス,9041.T,JP
阪急阪神ホールディングス,9042.T,JP
南海電気鉄道,9044.T,JP
京阪ホールディングス,9045.T,JP
神戸電鉄,9046.T,JP
名古屋鉄道,9048.T,JP
京福電気鉄道,9049.T,JP
センコン物流,9051.T,JP
山陽電気鉄道,9052.T,JP
遠州トラック,9057.T,JP
カンダホールディングス,9059.T,JP
日本ロジテム,9060.T,JP
岡山県貨物運送,9063.T,JP
ヤマトホールディングス,9064.T,JP
山九,9065.T,JP
日新,9066.T,JP
丸運,9067.T,JP
丸全昭和運輸,9068.T,JP
センコーグループホールディングス,9069.T,JP
トナミホールディングス,9070.T,JP
ニッコンホールディングス,9072.T,JP
京極運輸商事,9073.T,JP
日本石油輸送,9074.T,JP
福山通運,9075.T,JP
セイノーホールディングス,9076.T,JP
神奈川中央交通,9081.T,JP
大和自動車交通,9082.T,JP
神姫バス,9083.T,JP
タカセ,9087.T,JP
ＡＺ－ＣＯＭ丸和ホールディングス,9090.T,JP
日本郵船,9101.T,JP
商船三井,9104.T,JP
川崎汽船,9107.T,JP
ＮＳユナイテッド海運,9110.T,JP
明海グループ,9115.T,JP
飯野海運,9119.T,JP
玉井商船,9127.T,JP
共栄タンカー,9130.T,JP
九州旅客鉄道,9142.T,JP
ＳＧホールディングス,9143.T,JP
ビーイングホールディングス,9145.T,JP
五健堂,9146.T,JP
ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147.T,JP
大友ロジスティクスサービス,9149.T,JP
はなホールディングス,9156.T,JP
シーユーシー,9158.T,JP
Ｗ　ＴＯＫＹＯ,9159.T,JP
ノバレーゼ,9160.T,JP
ＩＤ＆Ｅホールディングス,9161.T,JP
ブリーチ,9162.T,JP
ナレルグループ,9163.T,JP
トライト,9164.T,JP
クオルテック,9165.T,JP
ＧＥＮＤＡ,9166.T,JP
フトン巻きのジロー,9167.T,JP
ライズ・コンサルティング・グループ,9168.T,JP
大伸社,9169.T,JP
栗林商船,9171.T,JP
東海汽船,9173.T,JP
東京汽船,9193.T,JP
日本航空,9201.T,JP
ＡＮＡホールディングス,9202.T,JP
スカイマーク,9204.T,JP
スターフライヤー,9206.T,JP
エフ・コード,9211.T,JP
Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,9212.T,JP
セイファート,9213.T,JP
Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,9214.T,JP
ＣａＳｙ,9215.T,JP
ビーウィズ,9216.T,JP
メンタルヘルステクノロジーズ,9218.T,JP
ギックス,9219.T,JP
エフビー介護サービス,9220.T,JP
フルハシＥＰＯ,9221.T,JP
ｍａｎａｂｙ,9222.T,JP
ＡＳＮＯＶＡ,9223.T,JP
環境のミカタ,9224.T,JP
ブリッジコンサルティンググループ,9225.T,JP
アイガー,9226.T,JP
マイクロ波化学,9227.T,JP
サンウェルズ,9229.T,JP
アジア航測,9233.T,JP
売れるネット広告社グループ,9235.T,JP
ジャパンＭ＆Ａソリューション,9236.T,JP
笑美面,9237.T,JP
バリュークリエーション,9238.T,JP
ケーイーティ,9239.T,JP
デリバリーコンサルティング,9240.T,JP
フューチャーリンクネットワーク,9241.T,JP
メディア総研,9242.T,JP
富士テクノホールディングス,9243.T,JP
デジタリフト,9244.T,JP
リベロ,9245.T,JP
プロジェクトホールディングス,9246.T,JP
ＴＲＥホールディングス,9247.T,JP
人・夢・技術グループ,9248.T,JP
日本エコシステム,9249.T,JP
ＧＲＣＳ,9250.T,JP
ＡＢ＆Ｃｏｍｐａｎｙ,9251.T,JP
ラストワンマイル,9252.T,JP
スローガン,9253.T,JP
ラバブルマーケティンググループ,9254.T,JP
サクシード,9256.T,JP
ＹＣＰホールディングス（グローバル）リミテッド　ＪＤＲ,9257.T,JP
ＣＳ－Ｃ,9258.T,JP
タカヨシホールディングス,9259.T,JP
西本Ｗｉｓｍｅｔｔａｃホールディングス,9260.T,JP
シルバーライフ,9262.T,JP
ポエック,9264.T,JP
ヤマシタヘルスケアホールディングス,9265.T,JP
Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,9267.T,JP
オプティマスグループ,9268.T,JP
バリュエンスホールディングス,9270.T,JP
和心,9271.T,JP
ブティックス,9272.T,JP
コーア商事ホールディングス,9273.T,JP
ＫＰＰグループホールディングス,9274.T,JP
ナルミヤ・インターナショナル,9275.T,JP
ブックオフグループホールディングス,9278.T,JP
ギフトホールディングス,9279.T,JP
いちごグリーンインフラ投資法人,9282.T,JP
カナディアン・ソーラー・インフラ投資法人,9284.T,JP
東京インフラ・エネルギー投資法人,9285.T,JP
エネクス・インフラ投資法人,9286.T,JP
ジャパン・インフラファンド投資法人,9287.T,JP
三菱倉庫,9301.T,JP
三井倉庫ホールディングス,9302.T,JP
住友倉庫,9303.T,JP
澁澤倉庫,9304.T,JP
ヤマタネ,9305.T,JP
東陽倉庫,9306.T,JP
杉村倉庫,9307.T,JP
乾汽船,9308.T,JP
日本トランスシティ,9310.T,JP
アサガミ,9311.T,JP
ケイヒン,9312.T,JP
丸八倉庫,9313.T,JP
中央倉庫,9319.T,JP
川西倉庫,9322.T,JP
安田倉庫,9324.T,JP
ファイズホールディングス,9325.T,JP
関通,9326.T,JP
イー・ロジット,9327.T,JP
揚羽,9330.T,JP
キャスター,9331.T,JP
ＮＩＳＳＯホールディングス,9332.T,JP
アイビスホールディングス,9334.T,JP
テクノクリエイティブ,9335.T,JP
大栄環境,9336.T,JP
トリドリ,9337.T,JP
ＩＮＦＯＲＩＣＨ,9338.T,JP
コーチ・エィ,9339.T,JP
アソインターナショナル,9340.T,JP
ＧＥＮＯＶＡ,9341.T,JP
スマサポ,9342.T,JP
アイビス,9343.T,JP
アクシスコンサルティング,9344.T,JP
ビズメイツ,9345.T,JP
ココルポート,9346.T,JP
日本管財ホールディングス,9347.T,JP
ｉｓｐａｃｅ,9348.T,JP
東洋埠頭,9351.T,JP
櫻島埠頭,9353.T,JP
リンコーコーポレーション,9355.T,JP
鈴与シンワート,9360.T,JP
伏木海陸運送,9361.T,JP
兵機海運,9362.T,JP
大運,9363.T,JP
上組,9364.T,JP
トレーディア,9365.T,JP
サンリツ,9366.T,JP
大東港運,9367.T,JP
キムラユニティー,9368.T,JP
キユーソー流通システム,9369.T,JP
ユーラシア旅行社,9376.T,JP
エージーピー,9377.T,JP
東海運,9380.T,JP
エーアイテイー,9381.T,JP
内外トランスライン,9384.T,JP
ショーエイコーポレーション,9385.T,JP
日本コンセプト,9386.T,JP
ビート・ホールディングス・リミテッド,9399.T,JP
ＴＢＳホールディングス,9401.T,JP
日本テレビホールディングス,9404.T,JP
朝日放送グループホールディングス,9405.T,JP
ＢＳＮメディアホールディングス,9408.T,JP
テレビ朝日ホールディングス,9409.T,JP
スカパーＪＳＡＴホールディングス,9412.T,JP
テレビ東京ホールディングス,9413.T,JP
日本ＢＳ放送,9414.T,JP
ビジョン,9416.T,JP
スマートバリュー,9417.T,JP
Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,9418.T,JP
ワイヤレスゲート,9419.T,JP
エヌジェイホールディングス,9421.T,JP
フォーバル・リアルストレート,9423.T,JP
日本通信,9424.T,JP
ＲｅＹｕｕ　Ｊａｐａｎ,9425.T,JP
クロップス,9428.T,JP
日本電信電話,9432.T,JP
ＫＤＤＩ,9433.T,JP
ソフトバンク,9434.T,JP
ソフトバンク第１回社債型種類株式,94345.T,JP
ソフトバンク第２回社債型種類株式,94346.T,JP
光通信,9435.T,JP
沖縄セルラー電話,9436.T,JP
エムティーアイ,9438.T,JP
エム・エイチ・グループ,9439.T,JP
ベルパーク,9441.T,JP
トーシンホールディングス,9444.T,JP
フォーバルテレコム,9445.T,JP
サカイホールディングス,9446.T,JP
ＧＭＯインターネットグループ,9449.T,JP
ファイバーゲート,9450.T,JP
アイドママーケティングコミュニケーション,9466.T,JP
アルファポリス,9467.T,JP
ＫＡＤＯＫＡＷＡ,9468.T,JP
学研ホールディングス,9470.T,JP
ゼンリン,9474.T,JP
昭文社ホールディングス,9475.T,JP
中央経済社ホールディングス,9476.T,JP
ＳＥホールディングス・アンド・インキュベーションズ,9478.T,JP
インプレスホールディングス,9479.T,JP
東京電力ホールディングス,9501.T,JP
中部電力,9502.T,JP
関西電力,9503.T,JP
中国電力,9504.T,JP
北陸電力,9505.T,JP
東北電力,9506.T,JP
四国電力,9507.T,JP
九州電力,9508.T,JP
北海道電力,9509.T,JP
沖縄電力,9511.T,JP
電源開発,9513.T,JP
エフオン,9514.T,JP
イーレックス,9517.T,JP
レノバ,9519.T,JP
東京瓦斯,9531.T,JP
大阪瓦斯,9532.T,JP
東邦瓦斯,9533.T,JP
北海道瓦斯,9534.T,JP
広島ガス,9535.T,JP
西部ガスホールディングス,9536.T,JP
北陸瓦斯,9537.T,JP
京葉瓦斯,9539.T,JP
静岡ガス,9543.T,JP
メタウォーター,9551.T,JP
Ｍ＆Ａ総研ホールディングス,9552.T,JP
マイクロアド,9553.T,JP
ＡＶｉＣ,9554.T,JP
ＩＮＴＬＯＯＰ,9556.T,JP
エアークローゼット,9557.T,JP
ジャパニアス,9558.T,JP
プログリット,9560.T,JP
グラッドキューブ,9561.T,JP
ビジネスコーチ,9562.T,JP
Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,9563.T,JP
ＦＣＥ,9564.T,JP
ＧＬＯＥ,9565.T,JP
アイネット,9600.T,JP
松竹,9601.T,JP
東宝,9602.T,JP
エイチ・アイ・エス,9603.T,JP
東映,9605.T,JP
ウィルソン・ラーニング　ワールドワイド,9610.T,JP
ラックランド,9612.T,JP
ＮＴＴデータグループ,9613.T,JP
共立メンテナンス,9616.T,JP
イチネンホールディングス,9619.T,JP
建設技術研究所,9621.T,JP
スペース,9622.T,JP
セレスポ,9625.T,JP
アインホールディングス,9627.T,JP
燦ホールディングス,9628.T,JP
ピー・シー・エー,9629.T,JP
スバル興業,9632.T,JP
東京テアトル,9633.T,JP
武蔵野興業,9635.T,JP
きんえい,9636.T,JP
三協フロンテア,9639.T,JP
セゾンテクノロジー,9640.T,JP
タナベコンサルティンググループ,9644.T,JP
協和コンサルタンツ,9647.T,JP
日本プロセス,9651.T,JP
グリーンランドリゾート,9656.T,JP
ビジネスブレイン太田昭和,9658.T,JP
歌舞伎座,9661.T,JP
ナガワ,9663.T,JP
東京都競馬,9672.T,JP
カナモト,9678.T,JP
ホウライ,9679.T,JP
ＤＴＳ,9682.T,JP
スクウェア・エニックス・ホールディングス,9684.T,JP
ＫＹＣＯＭホールディングス,9685.T,JP
東洋テック,9686.T,JP
ＫＳＫ,9687.T,JP
両毛システムズ,9691.T,JP
シーイーシー,9692.T,JP
ウィザス,9696.T,JP
カプコン,9697.T,JP
クレオ,9698.T,JP
ニシオホールディングス,9699.T,JP
東京會舘,9701.T,JP
アイ・エス・ビー,9702.T,JP
アゴーラ　ホスピタリティー　グループ,9704.T,JP
日本空港ビルデング,9706.T,JP
帝国ホテル,9708.T,JP
ＮＣＳ＆Ａ,9709.T,JP
ロイヤルホテル,9713.T,JP
トランス・コスモス,9715.T,JP
乃村工藝社,9716.T,JP
ＳＣＳＫ,9719.T,JP
ホテル、ニューグランド,9720.T,JP
藤田観光,9722.T,JP
京都ホテル,9723.T,JP
ＫＮＴ－ＣＴホールディングス,9726.T,JP
トーカイ,9729.T,JP
白洋舎,9731.T,JP
ナガセ,9733.T,JP
セコム,9735.T,JP
ＮＳＷ,9739.T,JP
セントラル警備保障,9740.T,JP
アイネス,9742.T,JP
丹青社,9743.T,JP
メイテックグループホールディングス,9744.T,JP
ＴＫＣ,9746.T,JP
富士ソフト,9749.T,JP
アイエックス・ナレッジ,9753.T,JP
応用地質,9755.T,JP
船井総研ホールディングス,9757.T,JP
ＮＳＤ,9759.T,JP
進学会ホールディングス,9760.T,JP
東海リース,9761.T,JP
丸紅建材リース,9763.T,JP
オオバ,9765.T,JP
コナミグループ,9766.T,JP
日建工学,9767.T,JP
いであ,9768.T,JP
学究社,9769.T,JP
札幌臨床検査センター,9776.T,JP
昴,9778.T,JP
ハリマビステム,9780.T,JP
ディーエムエス,9782.T,JP
イオンディライト,9787.T,JP
ナック,9788.T,JP
福井コンピュータホールディングス,9790.T,JP
ビケンテクノ,9791.T,JP
ダイセキ,9793.T,JP
ステップ,9795.T,JP
旭情報サービス,9799.T,JP
テーオーホールディングス,9812.T,JP
ストライダーズ,9816.T,JP
大丸エナウィン,9818.T,JP
エムティジェネックス,9820.T,JP
マミーマート,9823.T,JP
泉州電業,9824.T,JP
リリカラ,9827.T,JP
Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,9828.T,JP
トラスコ中山,9830.T,JP
ヤマダホールディングス,9831.T,JP
オートバックスセブン,9832.T,JP
ジュンテンドー,9835.T,JP
モリト,9837.T,JP
